,exchange,uptake,growth
139,EX_pi_e,10,True
140,EX_3amp_e,10,True
141,EX_23camp_e,10,True
142,EX_3gmp_e,10,True
143,EX_gmp_e,10,True
144,EX_23cgmp_e,10,True
145,EX_g1p_e,10,True
146,EX_g6p_e,10,True
147,EX_gam6p_e,10,True
148,EX_3cmp_e,10,True
149,EX_cmp_e,10,True
150,EX_23ccmp_e,10,True
151,EX_man6p_e,10,True
153,EX_thrp_e,10,True
154,EX_3ump_e,10,True
155,EX_ump_e,10,True
156,EX_23cump_e,10,True
157,EX_tyrp_e,10,True
158,EX_minohp_e,10,True
