Growth-Media	WELL-ID	In-Group
PMA phosphorus source test + thiophosphate	B1	Biolog PM4 - Phosphorus and Sulfur Sources
PMA carbon source test + an inulin	A9	Biolog PM2 - Carbon Sources
PMA carbon source test + D-alanine	A9	Biolog PM1 - Carbon Sources
PMA nitrogen source test + asn	A9	Biolog PM3 - Nitrogen Sources
PMA phosphorus source test + 3'-adenosine monophosphate	A9	Biolog PM4 - Phosphorus and Sulfur Sources
PMA carbon source test + glycogen	A8	Biolog PM2 - Carbon Sources
PMA carbon source test + pro	A8	Biolog PM1 - Carbon Sources
PMA nitrogen source test + arg	A8	Biolog PM3 - Nitrogen Sources
PMA phosphorus source test + adenosine 2'-monophosphate	A8	Biolog PM4 - Phosphorus and Sulfur Sources
PMA carbon source test + asp	A7	Biolog PM1 - Carbon Sources
PMA carbon source test + gelatin	A7	Biolog PM2 - Carbon Sources
PMA nitrogen source test + ala	A7	Biolog PM3 - Nitrogen Sources
PMA phosphorus source test + phosphinate	A7	Biolog PM4 - Phosphorus and Sulfur Sources
PMA carbon source test + a dextrin	A6	Biolog PM2 - Carbon Sources
PMA carbon source test + D-galactose	A6	Biolog PM1 - Carbon Sources
PMA nitrogen source test + biuret	A6	Biolog PM3 - Nitrogen Sources
PMA phosphorus source test + triethyl phosphate	A6	Biolog PM4 - Phosphorus and Sulfur Sources
PMA carbon source test + &gamma;-cyclodextrin	A5	Biolog PM2 - Carbon Sources
PMA carbon source test + succinate	A5	Biolog PM1 - Carbon Sources
PMA nitrogen source test + urea	A5	Biolog PM3 - Nitrogen Sources
PMA phosphorus source test + PPP<SUB>i</SUB>	A5	Biolog PM4 - Phosphorus and Sulfur Sources
PMA carbon source test + &beta;-cyclodextrin	A4	Biolog PM2 - Carbon Sources
PMA carbon source test + D-glucarate	A4	Biolog PM1 - Carbon Sources
PMA nitrogen source test + nitrate	A4	Biolog PM3 - Nitrogen Sources
PMA phosphorus source test + trimetaphosphate	A4	Biolog PM4 - Phosphorus and Sulfur Sources
PMA carbon source test + &alpha;-cyclodextrin	A3	Biolog PM2 - Carbon Sources
PMA carbon source test + <i>N</i>-acetyl-D-glucosamine	A3	Biolog PM1 - Carbon Sources
PMA nitrogen source test + nitrite	A3	Biolog PM3 - Nitrogen Sources
PMA phosphorus source test + diphosphate	A3	Biolog PM4 - Phosphorus and Sulfur Sources
PMA carbon source test + chondroitin sulfate C	A2	Biolog PM2 - Carbon Sources
PMA carbon source test + L-arabinose	A2	Biolog PM1 - Carbon Sources
PMA nitrogen source test + ammonia	A2	Biolog PM3 - Nitrogen Sources
PMA phosphorus source test + phosphate	A2	Biolog PM4 - Phosphorus and Sulfur Sources
PMA carbon source test + a pectin	A12	Biolog PM2 - Carbon Sources
PMA carbon source test + D-galactitol	A12	Biolog PM1 - Carbon Sources
PMA nitrogen source test + glt	A12	Biolog PM3 - Nitrogen Sources
PMA phosphorus source test + cyclic-AMP	A12	Biolog PM4 - Phosphorus and Sulfur Sources
PMA carbon source test + a mannan	A11	Biolog PM2 - Carbon Sources
PMA carbon source test + D-mannose	A11	Biolog PM1 - Carbon Sources
PMA nitrogen source test + cys	A11	Biolog PM3 - Nitrogen Sources
PMA phosphorus source test + adenosine 2'3'-cyclic monophosphate	A11	Biolog PM4 - Phosphorus and Sulfur Sources
PMA carbon source test + a laminaran	A10	Biolog PM2 - Carbon Sources
PMA carbon source test + trehalose	A10	Biolog PM1 - Carbon Sources
PMA nitrogen source test + asp	A10	Biolog PM3 - Nitrogen Sources
PMA phosphorus source test + AMP	A10	Biolog PM4 - Phosphorus and Sulfur Sources
Bochner defined minimal medium without carbon	A1	Biolog PM1 - Carbon Sources
Bochner defined minimal medium without nitrogen	A1	Biolog PM3 - Nitrogen Sources
Bochner defined minimal medium without phosphorous	A1	Biolog PM4 - Phosphorus and Sulfur Sources
