Growth-Media	WELL-ID	In-Group
PMA carbon source test + arg	G4	Biolog PM2 - Carbon Sources
PMA carbon source test + thr	G4	Biolog PM1 - Carbon Sources
PMA nitrogen source test + alloxan	G4	Biolog PM3 - Nitrogen Sources
PMA sulfur source test + lanthionine	G4	Biolog PM4 - Phosphorus and Sulfur Sources
PMA carbon source test + <i>N</i>-acetyl-L-glutamate	G3	Biolog PM2 - Carbon Sources
PMA carbon source test + ser	G3	Biolog PM1 - Carbon Sources
PMA nitrogen source test + urate	G3	Biolog PM3 - Nitrogen Sources
PMA sulfur source test + L-cystathionine	G3	Biolog PM4 - Phosphorus and Sulfur Sources
PMA carbon source test + L-alanine amide	G2	Biolog PM2 - Carbon Sources
PMA carbon source test + propane-1,2,3-tricarboxylate	G2	Biolog PM1 - Carbon Sources
PMA nitrogen source test + xanthosine	G2	Biolog PM3 - Nitrogen Sources
PMA sulfur source test + S-methyl-L-cysteine	G2	Biolog PM4 - Phosphorus and Sulfur Sources
PMA carbon source test + (<i>S</i>)-malate	G12	Biolog PM1 - Carbon Sources
PMA carbon source test + met	G12	Biolog PM2 - Carbon Sources
PMA nitrogen source test + L-2-aminopentanoate	G12	Biolog PM3 - Nitrogen Sources
PMA sulfur source test + L-Methionine sulfone	G12	Biolog PM4 - Phosphorus and Sulfur Sources
PMA carbon source test + (R)-malate	G11	Biolog PM1 - Carbon Sources
PMA carbon source test + lys	G11	Biolog PM2 - Carbon Sources
PMA nitrogen source test + 5-aminopentanoate	G11	Biolog PM3 - Nitrogen Sources
PMA sulfur source test + L-methionine <i>S</i>-oxide	G11	Biolog PM4 - Phosphorus and Sulfur Sources
PMA carbon source test + leu	G10	Biolog PM2 - Carbon Sources
PMA carbon source test + methyl pyruvate	G10	Biolog PM1 - Carbon Sources
PMA nitrogen source test + 2-aminocaprylate	G10	Biolog PM3 - Nitrogen Sources
PMA sulfur source test + <i>N</i>-acetyl-DL-methionine	G10	Biolog PM4 - Phosphorus and Sulfur Sources
PMA carbon source test + acetamide	G1	Biolog PM2 - Carbon Sources
PMA carbon source test + glycyl-L-glutamate	G1	Biolog PM1 - Carbon Sources
PMA nitrogen source test + xanthine	G1	Biolog PM3 - Nitrogen Sources
