dataset,taxaID,locus,gene,essentiality,pmid,Ref_db
108,83333,alaV,alaV,NE,,PEC
108,83333,alaW,alaW,NE,,PEC
108,83333,alaX,alaX,NE,,PEC
108,83333,aldA,aldA,NE,,PEC
108,83333,aldB,aldB,NE,,PEC
108,83333,alkA,alkA,NE,,PEC
108,83333,alkB,alkB,NE,,PEC
108,83333,allA,allA,NE,,PEC
108,83333,allB,allB,NE,,PEC
108,83333,allC,allC,NE,,PEC
108,83333,allD,allD,NE,,PEC
108,83333,allR,allR,NE,,PEC
108,83333,allS,allS,NE,,PEC
108,83333,alpA,alpA,NE,,PEC
108,83333,alr,alr,NE,,PEC
108,83333,alsA,alsA,NE,,PEC
108,83333,alsB,alsB,NE,,PEC
108,83333,alsC,alsC,NE,,PEC
108,83333,alsE,alsE,NE,,PEC
108,83333,alsK,alsK,NE,,PEC
108,83333,alx,alx,NE,,PEC
108,83333,amiA,amiA,NE,,PEC
108,83333,amiB,amiB,NE,,PEC
108,83333,amiC,amiC,NE,,PEC
108,83333,amiD,amiD,NE,,PEC
108,83333,amn,amn,NE,,PEC
108,83333,ampC,ampC,NE,,PEC
108,83333,ampD,ampD,NE,,PEC
108,83333,ampE,ampE,NE,,PEC
108,83333,ampG,ampG,NE,,PEC
108,83333,ampH,ampH,NE,,PEC
108,83333,amtB,amtB,NE,,PEC
108,83333,amyA,amyA,NE,,PEC
108,83333,anmK,anmK,NE,,PEC
108,83333,ansA,ansA,NE,,PEC
108,83333,ansB,ansB,NE,,PEC
108,83333,ansP,ansP,NE,,PEC
108,83333,apaG,apaG,NE,,PEC
108,83333,apaH,apaH,NE,,PEC
108,83333,apbE,apbE,NE,,PEC
108,83333,aphA,aphA,NE,,PEC
108,83333,appA,appA,NE,,PEC
108,83333,appB,appB,NE,,PEC
108,83333,appC,appC,NE,,PEC
108,83333,appY,appY,NE,,PEC
108,83333,apt,apt,NE,,PEC
108,83333,aqpZ,aqpZ,NE,,PEC
108,83333,araA,araA,NE,,PEC
108,83333,araB,araB,NE,,PEC
108,83333,araC,araC,NE,,PEC
108,83333,araD,araD,NE,,PEC
108,83333,araE,araE,NE,,PEC
108,83333,araF,araF,NE,,PEC
108,83333,araG,araG,NE,,PEC
108,83333,araH,araH,NE,,PEC
108,83333,araJ,araJ,NE,,PEC
108,83333,arcA,arcA,NE,,PEC
108,83333,arcB,arcB,NE,,PEC
108,83333,arfA,arfA,NE,,PEC
108,83333,arfB,arfB,NE,,PEC
108,83333,argA,argA,NE,,PEC
108,83333,argB,argB,NE,,PEC
108,83333,argC,argC,NE,,PEC
108,83333,argD,argD,NE,,PEC
108,83333,argE,argE,NE,,PEC
108,83333,argF,argF,NE,,PEC
108,83333,argG,argG,NE,,PEC
108,83333,argH,argH,NE,,PEC
108,83333,argI,argI,NE,,PEC
108,83333,argK,argK,NE,,PEC
108,83333,argM,argM,NE,,PEC
108,83333,argO,argO,NE,,PEC
108,83333,argP,argP,NE,,PEC
108,83333,argQ,argQ,NE,,PEC
108,83333,argR,argR,NE,,PEC
108,83333,argS,argS,E,,PEC
108,83333,argT,argT,NE,,PEC
108,83333,argU,argU,E,,PEC
108,83333,argV,argV,NE,,PEC
108,83333,argW,argW,C,,PEC
108,83333,argX,argX,E,,PEC
108,83333,argY,argY,NE,,PEC
108,83333,argZ,argZ,NE,,PEC
108,83333,ariR,ariR,NE,,PEC
108,83333,arnA,arnA,NE,,PEC
108,83333,arnB,arnB,NE,,PEC
108,83333,arnC,arnC,NE,,PEC
108,83333,arnD,arnD,NE,,PEC
108,83333,arnE,arnE,NE,,PEC
108,83333,arnF,arnF,NE,,PEC
108,83333,arnT,arnT,NE,,PEC
108,83333,aroA,aroA,NE,,PEC
108,83333,aroB,aroB,NE,,PEC
108,83333,aroC,aroC,NE,,PEC
108,83333,aroD,aroD,NE,,PEC
108,83333,aroE,aroE,NE,,PEC
108,83333,aroF,aroF,NE,,PEC
108,83333,aroG,aroG,NE,,PEC
108,83333,aroH,aroH,NE,,PEC
108,83333,aroI,aroI,NE,,PEC
108,83333,aroK,aroK,NE,,PEC
108,83333,aroL,aroL,NE,,PEC
108,83333,aroM,aroM,NE,,PEC
108,83333,aroP,aroP,NE,,PEC
108,83333,arpA,arpA,NE,,PEC
108,83333,arpB,arpB,NE,,PEC
108,83333,arrS,arrS,NE,,PEC
108,83333,arsB,arsB,NE,,PEC
108,83333,arsC,arsC,NE,,PEC
108,83333,arsR,arsR,NE,,PEC
108,83333,artI,artI,NE,,PEC
108,83333,artJ,artJ,NE,,PEC
108,83333,artM,artM,NE,,PEC
108,83333,artP,artP,NE,,PEC
108,83333,artQ,artQ,NE,,PEC
